               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  41,            0.029231,           0.0098144,          0.00037885,             0.90532,             0.89659,             0.94015,             0.64308,            0.024653,           0.0073666,          0.00041272,             0.00868,             0.00868,             0.00868
                  42,            0.029934,            0.009916,          0.00033345,             0.94112,             0.90354,             0.95133,             0.66443,            0.023415,           0.0069683,          0.00028134,            0.008647,            0.008647,            0.008647
                  43,            0.030321,           0.0098166,          0.00043956,             0.92207,             0.89338,             0.94162,             0.63851,            0.025009,           0.0073269,           0.0003686,            0.008614,            0.008614,            0.008614
                  44,            0.029552,            0.010015,          0.00038621,             0.92831,             0.91331,             0.95453,             0.67358,            0.022479,           0.0067178,          0.00032103,            0.008581,            0.008581,            0.008581
                  45,            0.029113,           0.0098571,          0.00037593,             0.92507,             0.91532,             0.95266,             0.68624,            0.022024,           0.0067721,           0.0003085,            0.008548,            0.008548,            0.008548
                  46,            0.028949,           0.0099179,          0.00034022,             0.91937,             0.90325,             0.94983,             0.67086,            0.023039,           0.0068856,          0.00024176,            0.008515,            0.008515,            0.008515
                  47,            0.028612,            0.009765,           0.0003423,             0.91059,             0.91376,             0.94469,             0.67681,            0.022211,           0.0069113,            0.000313,            0.008482,            0.008482,            0.008482
                  48,            0.028631,           0.0095667,          0.00033665,             0.94546,             0.91146,              0.9588,              0.6922,            0.021675,           0.0066741,          0.00028504,            0.008449,            0.008449,            0.008449
                  49,            0.027974,           0.0099252,          0.00028721,             0.92125,             0.91656,             0.95054,             0.66926,             0.02299,            0.006912,           0.0002454,            0.008416,            0.008416,            0.008416
                  50,            0.028305,           0.0094698,          0.00024251,             0.92318,             0.91016,             0.94831,             0.66899,            0.022752,           0.0069631,          0.00024196,            0.008383,            0.008383,            0.008383
                  51,            0.028128,           0.0097354,          0.00038667,             0.95609,             0.90968,              0.9577,             0.68071,            0.021946,           0.0066907,          0.00030887,             0.00835,             0.00835,             0.00835
                  52,            0.028573,           0.0093669,          0.00028601,             0.94022,             0.87993,             0.94409,             0.66172,            0.023065,           0.0072898,          0.00025797,            0.008317,            0.008317,            0.008317
                  53,            0.028737,           0.0095115,          0.00031783,             0.92889,             0.89556,             0.95128,             0.67711,            0.022287,           0.0070343,          0.00021999,            0.008284,            0.008284,            0.008284
                  54,            0.028164,           0.0093952,          0.00032782,             0.93519,              0.8986,              0.9475,             0.66713,             0.02364,           0.0069283,          0.00031411,            0.008251,            0.008251,            0.008251
                  55,            0.027927,           0.0098179,          0.00029282,             0.94163,             0.92286,             0.96186,             0.69249,            0.021255,           0.0064689,          0.00031408,            0.008218,            0.008218,            0.008218
                  56,            0.027886,           0.0092948,          0.00030683,             0.92745,             0.92374,               0.958,             0.68407,            0.022261,           0.0067173,          0.00024496,            0.008185,            0.008185,            0.008185
                  57,            0.026941,           0.0093623,          0.00027268,             0.94706,             0.92539,             0.96312,             0.69537,            0.020903,           0.0063971,          0.00021755,            0.008152,            0.008152,            0.008152
                  58,            0.027088,           0.0092901,          0.00028351,              0.9547,             0.92858,             0.96183,             0.70791,             0.02092,           0.0062679,          0.00026364,            0.008119,            0.008119,            0.008119
                  59,            0.026393,           0.0090305,          0.00029674,             0.95572,             0.91597,             0.96215,             0.69824,            0.021007,           0.0064364,          0.00022795,            0.008086,            0.008086,            0.008086
                  60,            0.027217,           0.0090379,          0.00027814,             0.95175,             0.91619,             0.96019,             0.68816,             0.02153,           0.0065268,          0.00035748,            0.008053,            0.008053,            0.008053
                  61,            0.026091,           0.0093561,          0.00030825,             0.94868,             0.92207,             0.95945,             0.70257,            0.020598,            0.006302,           0.0002133,             0.00802,             0.00802,             0.00802
                  62,            0.027277,           0.0092402,          0.00027396,             0.94541,             0.91632,             0.95822,             0.69679,             0.02108,           0.0065508,            0.000233,            0.007987,            0.007987,            0.007987
                  63,            0.026596,           0.0091208,          0.00026504,             0.95166,              0.9191,             0.95945,              0.7006,            0.021117,           0.0063096,           0.0002396,            0.007954,            0.007954,            0.007954
                  64,            0.026251,           0.0088175,          0.00030781,             0.94974,             0.89841,             0.95499,             0.69746,            0.021476,           0.0066034,          0.00026588,            0.007921,            0.007921,            0.007921
                  65,            0.026498,           0.0092062,          0.00028569,              0.9459,             0.92853,              0.9622,             0.70849,            0.020494,           0.0062968,          0.00024709,            0.007888,            0.007888,            0.007888
                  66,            0.027206,           0.0091858,          0.00028691,             0.92766,             0.91761,             0.95453,             0.70296,            0.020348,           0.0063506,          0.00024429,            0.007855,            0.007855,            0.007855
                  67,            0.026339,           0.0089454,          0.00025482,             0.94593,             0.93535,             0.96416,             0.71334,            0.020488,           0.0063056,          0.00021622,            0.007822,            0.007822,            0.007822
                  68,            0.026409,           0.0091449,          0.00024694,              0.9421,             0.93724,             0.96571,              0.7102,            0.020441,           0.0061875,          0.00024822,            0.007789,            0.007789,            0.007789
                  69,            0.026342,           0.0088886,          0.00028163,             0.94283,             0.94173,             0.96391,             0.72323,            0.020194,           0.0061774,          0.00021628,            0.007756,            0.007756,            0.007756
                  70,            0.026099,           0.0091431,          0.00024807,             0.92722,             0.93926,             0.96424,             0.71204,            0.020243,           0.0062608,          0.00020561,            0.007723,            0.007723,            0.007723
                  71,             0.02615,           0.0090986,          0.00027574,             0.94785,             0.92015,             0.95853,             0.70317,             0.02024,             0.00645,          0.00022572,             0.00769,             0.00769,             0.00769
                  72,            0.026348,           0.0086415,          0.00021328,             0.93473,             0.91073,             0.95196,             0.67106,            0.022558,           0.0068463,           0.0002443,            0.007657,            0.007657,            0.007657
                  73,            0.025779,           0.0088781,          0.00027837,             0.95536,             0.92811,             0.96553,             0.71486,            0.019868,           0.0061285,          0.00023475,            0.007624,            0.007624,            0.007624
                  74,            0.025628,           0.0090541,          0.00025144,             0.95697,             0.92722,             0.96543,              0.7214,            0.019346,           0.0059144,          0.00020952,            0.007591,            0.007591,            0.007591
                  75,            0.025505,           0.0086939,          0.00026919,             0.96853,             0.91968,             0.96531,             0.71473,            0.019903,            0.006042,          0.00025338,            0.007558,            0.007558,            0.007558
                  76,            0.025936,           0.0089515,           0.0002234,              0.9582,             0.93076,             0.96779,             0.72796,             0.01895,           0.0060566,          0.00022637,            0.007525,            0.007525,            0.007525
                  77,            0.025279,           0.0086784,            0.000296,             0.96246,             0.93227,             0.96647,             0.72758,            0.019529,           0.0059761,          0.00017978,            0.007492,            0.007492,            0.007492
                  78,            0.025523,           0.0087594,          0.00024088,             0.95498,             0.92019,             0.96108,             0.71306,            0.019637,           0.0061296,          0.00023006,            0.007459,            0.007459,            0.007459
                  79,             0.02465,            0.008824,          0.00025009,             0.95145,             0.92824,             0.96586,              0.7113,            0.019827,           0.0061627,          0.00020186,            0.007426,            0.007426,            0.007426
                  80,             0.02505,           0.0086787,          0.00022612,             0.96293,             0.92835,             0.96414,             0.73303,            0.019301,            0.005862,          0.00020535,            0.007393,            0.007393,            0.007393
